,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
27332,27332,0.0001585127595462,ramp-inside,,1404,True,63189,1628,640,13.392497753751098,63197,1492,64,7.125016348901798,9,2017-06-21 08:52:39.450,2017-06-21 08:52:39.450,2017-06-21 08:52:39.850,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
27476,27476,0.7014007469588615,outside_inside,entering,638,True,63416,924,868,135.0,63440,620,72,354.0938588862295,25,2017-06-21 08:52:50.800,2017-06-21 08:52:50.800,2017-06-21 08:52:52.000,True,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
27602,27602,0.2307984605431556,noise,,1230,True,63726,520,1100,211.1593045083444,63728,576,1184,208.81079374297303,3,2017-06-21 08:53:06.300,2017-06-21 08:53:06.300,2017-06-21 08:53:06.400,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
29120,29120,4.193440622657363e-05,noise,,1621,True,66957,528,620,157.75097634278765,66959,524,680,170.53767779197435,3,2017-06-21 08:55:47.850,2017-06-21 08:55:47.850,2017-06-21 08:55:47.950,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
29129,29129,3.281548363667984e-05,outside,,1621,True,66966,536,848,167.0053832080835,66972,492,1116,163.3007557660064,7,2017-06-21 08:55:48.300,2017-06-21 08:55:48.300,2017-06-21 08:55:48.600,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
30565,30565,0.0149529740199701,outside_inside,entering,197,True,69981,1048,964,356.4236656250026,69997,1152,96,34.824489156956794,17,2017-06-21 08:58:19.050,2017-06-21 08:58:19.050,2017-06-21 08:58:19.850,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
30904,30904,0.0002125242077521,noise,,638,True,70797,756,440,196.82140989004083,70800,796,672,201.31791227546157,4,2017-06-21 08:58:59.850,2017-06-21 08:58:59.850,2017-06-21 08:59:00.000,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
30908,30908,0.3201737643163748,noise,,638,True,70801,856,812,207.8972710309476,70803,892,944,192.87500155961249,3,2017-06-21 08:59:00.050,2017-06-21 08:59:00.050,2017-06-21 08:59:00.150,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
32167,842,8.069372686546998e-07,outside_ramp,entering,1609,True,2243,1532,1004,1.5911402711945872,2249,1600,540,9.926245506651703,7,2017-06-21 09:01:52.150,2017-06-21 09:01:52.150,2017-06-21 09:01:52.450,False,True,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
32979,1654,0.0081065669264432,inside_ramp,,197,True,5114,372,196,143.6955028774248,5121,384,592,192.2004687273808,8,2017-06-21 09:04:15.700,2017-06-21 09:04:15.700,2017-06-21 09:04:16.050,False,False,False,False,False,C02_170621090000.mp4,15072,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621090000.mp4,1
